"","text","linenumber","chapter"
"2975","extraordinary one after my declaration. I do assure you that I am not",2975,19
"2976","one of those young ladies (if such young ladies there are) who are so",2976,19
"2977","daring as to risk their happiness on the chance of being asked a second",2977,19
"2978","time. I am perfectly serious in my refusal.--You could not make _me_",2978,19
"2979","happy, and I am convinced that I am the last woman in the world who",2979,19
"2980","would make _you_ so.--Nay, were your friend Lady Catherine to know me, I",2980,19
"2981","am persuaded she would find me in every respect ill qualified for the",2981,19
"2982","situation.""",2982,19
"2983","""Were it certain that Lady Catherine would think so,"" said Mr. Collins",2983,19
"2984","very gravely--""but I cannot imagine that her ladyship would at all",2984,19
"2985","disapprove of you. And you may be certain that when I have the honour of",2985,19
"2986","seeing her again I shall speak in the highest terms of your modesty,",2986,19
"2987","economy, and other amiable qualifications.""",2987,19
"2988","""Indeed, Mr. Collins, all praise of me will be unnecessary. You must",2988,19
"2989","give me leave to judge for myself, and pay me the compliment of",2989,19
"2990","believing what I say. I wish you very happy and very rich, and by",2990,19
"2991","refusing your hand, do all in my power to prevent your being otherwise.",2991,19
"2992","In making me the offer, you must have satisfied the delicacy of your",2992,19
"2993","feelings with regard to my family, and may take possession of Longbourn",2993,19
"2994","estate whenever it falls, without any self-reproach. This matter may be",2994,19
"2995","considered, therefore, as finally settled."" And rising as she thus",2995,19
"2996","spoke, she would have quitted the room, had not Mr. Collins thus",2996,19
"2997","addressed her,",2997,19
"2998","""When I do myself the honour of speaking to you next on this subject I",2998,19
"2999","shall hope to receive a more favourable answer than you have now given",2999,19
"3000","me; though I am far from accusing you of cruelty at present, because I",3000,19
"3001","know it to be the established custom of your sex to reject a man on the",3001,19
"3002","first application, and perhaps you have even now said as much to",3002,19
"3003","encourage my suit as would be consistent with the true delicacy of the",3003,19
"3004","female character.""",3004,19
"3005","""Really, Mr. Collins,"" cried Elizabeth with some warmth, ""you puzzle me",3005,19
"3006","exceedingly. If what I have hitherto said can appear to you in the form",3006,19
"3007","of encouragement, I know not how to express my refusal in such a way as",3007,19
"3008","may convince you of its being one.""",3008,19
"3009","""You must give me leave to flatter myself, my dear cousin, that your",3009,19
"3010","refusal of my addresses is merely words of course. My reasons for",3010,19
"3011","believing it are briefly these:--It does not appear to me that my hand",3011,19
"3012","is unworthy your acceptance, or that the establishment I can offer would",3012,19
"3013","be any other than highly desirable. My situation in life, my connections",3013,19
"3014","with the family of De Bourgh, and my relationship to your own, are",3014,19
"3015","circumstances highly in my favour; and you should take it into farther",3015,19
"3016","consideration that in spite of your manifold attractions, it is by no",3016,19
"3017","means certain that another offer of marriage may ever be made you. Your",3017,19
"3018","portion is unhappily so small that it will in all likelihood undo the",3018,19
"3019","effects of your loveliness and amiable qualifications. As I must",3019,19
"3020","therefore conclude that you are not serious in your rejection of me, I",3020,19
"3021","shall chuse to attribute it to your wish of increasing my love by",3021,19
"3022","suspense, according to the usual practice of elegant females.""",3022,19
"3023","""I do assure you, Sir, that I have no pretension whatever to that kind",3023,19
"3024","of elegance which consists in tormenting a respectable man. I would",3024,19
"3025","rather be paid the compliment of being believed sincere. I thank you",3025,19
"3026","again and again for the honour you have done me in your proposals, but",3026,19
"3027","to accept them is absolutely impossible. My feelings in every respect",3027,19
"3028","forbid it. Can I speak plainer? Do not consider me now as an elegant",3028,19
"3029","female intending to plague you, but as a rational creature speaking the",3029,19
"3030","truth from her heart.""",3030,19
"3031","""You are uniformly charming!"" cried he, with an air of awkward",3031,19
"3032","gallantry; ""and I am persuaded that when sanctioned by the express",3032,19
"3033","authority of both your excellent parents, my proposals will not fail of",3033,19
"3034","being acceptable.""",3034,19
"3035","To such perseverance in wilful self-deception Elizabeth would make no",3035,19
"3036","reply, and immediately and in silence withdrew; determined, if he",3036,19
"3037","persisted in considering her repeated refusals as flattering",3037,19
"3038","encouragement, to apply to her father, whose negative might be uttered",3038,19
"3039","in such a manner as must be decisive, and whose behaviour at least could",3039,19
"3040","not be mistaken for the affectation and coquetry of an elegant female.",3040,19
"3041","Mr. Collins was not left long to the silent contemplation of his",3041,20
"3042","successful love; for Mrs. Bennet, having dawdled about in the vestibule",3042,20
"3043","to watch for the end of the conference, no sooner saw Elizabeth open the",3043,20
"3044","door and with quick step pass her towards the staircase, than she",3044,20
"3045","entered the breakfast-room, and congratulated both him and herself in",3045,20
"3046","warm terms on the happy prospect of their nearer connection. Mr. Collins",3046,20
"3047","received and returned these felicitations with equal pleasure, and then",3047,20
"3048","proceeded to relate the particulars of their interview, with the result",3048,20
"3049","of which he trusted he had every reason to be satisfied, since the",3049,20
"3050","refusal which his cousin had steadfastly given him would naturally flow",3050,20
"3051","from her bashful modesty and the genuine delicacy of her character.",3051,20
"3052","This information, however, startled Mrs. Bennet;--she would have been",3052,20
"3053","glad to be equally satisfied that her daughter had meant to encourage",3053,20
"3054","him by protesting against his proposals, but she dared not to believe",3054,20
"3055","it, and could not help saying so.",3055,20
"3056","""But depend upon it, Mr. Collins,"" she added, ""that Lizzy shall be",3056,20
"3057","brought to reason. I will speak to her about it myself directly. She is",3057,20
"3058","a very headstrong foolish girl, and does not know her own interest; but",3058,20
"3059","I will _make_ her know it.""",3059,20
"3060","""Pardon me for interrupting you, Madam,"" cried Mr. Collins; ""but if she",3060,20
"3061","is really headstrong and foolish, I know not whether she would",3061,20
"3062","altogether be a very desirable wife to a man in my situation, who",3062,20
"3063","naturally looks for happiness in the marriage state. If therefore she",3063,20
"3064","actually persists in rejecting my suit, perhaps it were better not to",3064,20
"3065","force her into accepting me, because if liable to such defects of",3065,20
"3066","temper, she could not contribute much to my felicity.""",3066,20
"3067","""Sir, you quite misunderstand me,"" said Mrs. Bennet, alarmed. ""Lizzy is",3067,20
"3068","only headstrong in such matters as these. In every thing else she is as",3068,20
"3069","good natured a girl as ever lived. I will go directly to Mr. Bennet, and",3069,20
"3070","we shall very soon settle it with her, I am sure.""",3070,20
"3071","She would not give him time to reply, but hurrying instantly to her",3071,20
"3072","husband, called out as she entered the library,",3072,20
"3073","""Oh! Mr. Bennet, you are wanted immediately; we are all in an uproar.",3073,20
"3074","You must come and make Lizzy marry Mr. Collins, for she vows she will",3074,20
"3075","not have him, and if you do not make haste he will change his mind and",3075,20
"3076","not have _her_.""",3076,20
"3077","Mr. Bennet raised his eyes from his book as she entered, and fixed them",3077,20
"3078","on her face with a calm unconcern which was not in the least altered by",3078,20
"3079","her communication.",3079,20
"3080","""I have not the pleasure of understanding you,"" said he, when she had",3080,20
"3081","finished her speech. ""Of what are you talking?""",3081,20
"3082","""Of Mr. Collins and Lizzy. Lizzy declares she will not have Mr. Collins,",3082,20
"3083","and Mr. Collins begins to say that he will not have Lizzy.""",3083,20
"3084","""And what am I to do on the occasion?--It seems an hopeless business.""",3084,20
"3085","""Speak to Lizzy about it yourself. Tell her that you insist upon her",3085,20
"3086","marrying him.""",3086,20
"3087","""Let her be called down. She shall hear my opinion.""",3087,20
"3088","Mrs. Bennet rang the bell, and Miss Elizabeth was summoned to the",3088,20
"3089","library.",3089,20
"3090","""Come here, child,"" cried her father as she appeared. ""I have sent for",3090,20
"3091","you on an affair of importance. I understand that Mr. Collins has made",3091,20
"3092","you an offer of marriage. Is it true?"" Elizabeth replied that it was.",3092,20
"3093","""Very well--and this offer of marriage you have refused?""",3093,20
"3094","""I have, Sir.""",3094,20
"3095","""Very well. We now come to the point. Your mother insists upon your",3095,20
"3096","accepting it. Is not it so, Mrs. Bennet?""",3096,20
"3097","""Yes, or I will never see her again.""",3097,20
"3098","""An unhappy alternative is before you, Elizabeth. From this day you must",3098,20
"3099","be a stranger to one of your parents.--Your mother will never see you",3099,20
"3100","again if you do _not_ marry Mr. Collins, and I will never see you again",3100,20
"3101","if you _do_.""",3101,20
"3102","Elizabeth could not but smile at such a conclusion of such a beginning;",3102,20
"3103","but Mrs. Bennet, who had persuaded herself that her husband regarded the",3103,20
"3104","affair as she wished, was excessively disappointed.",3104,20
"3105","""What do you mean, Mr. Bennet, by talking in this way? You promised me",3105,20
"3106","to _insist_ upon her marrying him.""",3106,20
"3107","""My dear,"" replied her husband, ""I have two small favours to request.",3107,20
"3108","First, that you will allow me the free use of my understanding on the",3108,20
"3109","present occasion; and secondly, of my room. I shall be glad to have the",3109,20
"3110","library to myself as soon as may be.""",3110,20
"3111","Not yet, however, in spite of her disappointment in her husband, did",3111,20
"3112","Mrs. Bennet give up the point. She talked to Elizabeth again and again;",3112,20
"3113","coaxed and threatened her by turns. She endeavoured to secure Jane in",3113,20
"3114","her interest, but Jane with all possible mildness declined",3114,20
"3115","interfering;--and Elizabeth sometimes with real earnestness and",3115,20
"3116","sometimes with playful gaiety replied to her attacks. Though her manner",3116,20
"3117","varied however, her determination never did.",3117,20
"3118","Mr. Collins, meanwhile, was meditating in solitude on what had passed.",3118,20
"3119","He thought too well of himself to comprehend on what motive his cousin",3119,20
"3120","could refuse him; and though his pride was hurt, he suffered in no other",3120,20
"3121","way. His regard for her was quite imaginary; and the possibility of her",3121,20
"3122","deserving her mother's reproach prevented his feeling any regret.",3122,20
"3123","While the family were in this confusion, Charlotte Lucas came to spend",3123,20
"3124","the day with them. She was met in the vestibule by Lydia, who, flying to",3124,20
"3125","her, cried in a half whisper, ""I am glad you are come, for there is such",3125,20
"3126","fun here!--What do you think has happened this morning?--Mr. Collins has",3126,20
"3127","made an offer to Lizzy, and she will not have him.""",3127,20
"3128","Charlotte had hardly time to answer, before they were joined by Kitty,",3128,20
"3129","who came to tell the same news, and no sooner had they entered the",3129,20
"3130","breakfast-room, where Mrs. Bennet was alone, than she likewise began on",3130,20
"3131","the subject, calling on Miss Lucas for her compassion, and entreating",3131,20
"3132","her to persuade her friend Lizzy to comply with the wishes of all her",3132,20
"3133","family. ""Pray do, my dear Miss Lucas,"" she added in a melancholy tone,",3133,20
"3134","""for nobody is on my side, nobody takes part with me, I am cruelly used,",3134,20
"3135","nobody feels for my poor nerves.""",3135,20
"3136","Charlotte's reply was spared by the entrance of Jane and Elizabeth.",3136,20
"3137","""Aye, there she comes,"" continued Mrs. Bennet, ""looking as unconcerned",3137,20
"3138","as may be, and caring no more for us than if we were at York, provided",3138,20
"3139","she can have her own way.--But I tell you what, Miss Lizzy, if you take",3139,20
"3140","it into your head to go on refusing every offer of marriage in this way,",3140,20
"3141","you will never get a husband at all--and I am sure I do not know who is",3141,20
"3142","to maintain you when your father is dead.--_I_ shall not be able to keep",3142,20
"3143","you--and so I warn you.--I have done with you from this very day.--I",3143,20
"3144","told you in the library, you know, that I should never speak to you",3144,20
"3145","again, and you will find me as good as my word. I have no pleasure in",3145,20
"3146","talking to undutiful children.--Not that I have much pleasure indeed in",3146,20
"3147","talking to any body. People who suffer as I do from nervous complaints",3147,20
"3148","can have no great inclination for talking. Nobody can tell what I",3148,20
"3149","suffer!--But it is always so. Those who do not complain are never",3149,20
"3150","pitied.""",3150,20
"3151","Her daughters listened in silence to this effusion, sensible that any",3151,20
"3152","attempt to reason with or sooth her would only increase the irritation.",3152,20
"3153","She talked on, therefore, without interruption from any of them till",3153,20
"3154","they were joined by Mr. Collins, who entered with an air more stately",3154,20
"3155","than usual, and on perceiving whom, she said to the girls,",3155,20
"3156","""Now, I do insist upon it, that you, all of you, hold your tongues, and",3156,20
"3157","let Mr. Collins and me have a little conversation together.""",3157,20
"3158","Elizabeth passed quietly out of the room, Jane and Kitty followed, but",3158,20
"3159","Lydia stood her ground, determined to hear all she could; and Charlotte,",3159,20
"3160","detained first by the civility of Mr. Collins, whose inquiries after",3160,20
"3161","herself and all her family were very minute, and then by a little",3161,20
"3162","curiosity, satisfied herself with walking to the window and pretending",3162,20
"3163","not to hear. In a doleful voice Mrs. Bennet thus began the projected",3163,20
"3164","conversation.--""Oh! Mr. Collins!""--",3164,20
"3165","""My dear Madam,"" replied he, ""let us be for ever silent on this point.",3165,20
"3166","Far be it from me,"" he presently continued in a voice that marked his",3166,20
"3167","displeasure, ""to resent the behaviour of your daughter. Resignation to",3167,20
"3168","inevitable evils is the duty of us all; the peculiar duty of a young man",3168,20
"3169","who has been so fortunate as I have been in early preferment; and I",3169,20
"3170","trust I am resigned. Perhaps not the less so from feeling a doubt of my",3170,20
"3171","positive happiness had my fair cousin honoured me with her hand; for I",3171,20
"3172","have often observed that resignation is never so perfect as when the",3172,20
"3173","blessing denied begins to lose somewhat of its value in our estimation.",3173,20
"3174","You will not, I hope, consider me as shewing any disrespect to your",3174,20
"3175","family, my dear Madam, by thus withdrawing my pretensions to your",3175,20
"3176","daughter's favour, without having paid yourself and Mr. Bennet the",3176,20
"3177","compliment of requesting you to interpose your authority in my behalf.",3177,20
"3178","My conduct may I fear be objectionable in having accepted my dismission",3178,20
"3179","from your daughter's lips instead of your own. But we are all liable to",3179,20
"3180","error. I have certainly meant well through the whole affair. My object",3180,20
"3181","has been to secure an amiable companion for myself, with due",3181,20
"3182","consideration for the advantage of all your family, and if my _manner_",3182,20
"3183","has been at all reprehensible, I here beg leave to apologise.""",3183,20
"3184","The discussion of Mr. Collins's offer was now nearly at an end, and",3184,21
"3185","Elizabeth had only to suffer from the uncomfortable feelings necessarily",3185,21
"3186","attending it, and occasionally from some peevish allusion of her mother.",3186,21
"3187","As for the gentleman himself, _his_ feelings were chiefly expressed, not",3187,21
"3188","by embarrassment or dejection, or by trying to avoid her, but by",3188,21
"3189","stiffness of manner and resentful silence. He scarcely ever spoke to",3189,21
"3190","her, and the assiduous attentions which he had been so sensible of",3190,21
"3191","himself, were transferred for the rest of the day to Miss Lucas, whose",3191,21
"3192","civility in listening to him, was a seasonable relief to them all, and",3192,21
"3193","especially to her friend.",3193,21
"3194","The morrow produced no abatement of Mrs. Bennet's ill humour or ill",3194,21
"3195","health. Mr. Collins was also in the same state of angry pride. Elizabeth",3195,21
"3196","had hoped that his resentment might shorten his visit, but his plan did",3196,21
"3197","not appear in the least affected by it. He was always to have gone on",3197,21
"3198","Saturday, and to Saturday he still meant to stay.",3198,21
"3199","After breakfast, the girls walked to Meryton to inquire if Mr. Wickham",3199,21
"3200","were returned, and to lament over his absence from the Netherfield ball.",3200,21
"3201","He joined them on their entering the town and attended them to their",3201,21
"3202","aunt's, where his regret and vexation, and the concern of every body was",3202,21
"3203","well talked over.--To Elizabeth, however, he voluntarily acknowledged",3203,21
"3204","that the necessity of his absence _had_ been self imposed.",3204,21
"3205","""I found,"" said he, ""as the time drew near, that I had better not meet",3205,21
"3206","Mr. Darcy;--that to be in the same room, the same party with him for so",3206,21
"3207","many hours together, might be more than I could bear, and that scenes",3207,21
"3208","might arise unpleasant to more than myself.""",3208,21
"3209","She highly approved his forbearance, and they had leisure for a full",3209,21
"3210","discussion of it, and for all the commendation which they civilly",3210,21
"3211","bestowed on each other, as Wickham and another officer walked back with",3211,21
"3212","them to Longbourn, and during the walk, he particularly attended to her.",3212,21
"3213","His accompanying them was a double advantage; she felt all the",3213,21
"3214","compliment it offered to herself, and it was most acceptable as an",3214,21
"3215","occasion of introducing him to her father and mother.",3215,21
"3216","Soon after their return, a letter was delivered to Miss Bennet; it came",3216,21
"3217","from Netherfield, and was opened immediately. The envelope contained a",3217,21
"3218","sheet of elegant, little, hot pressed paper, well covered with a lady's",3218,21
"3219","fair, flowing hand; and Elizabeth saw her sister's countenance change as",3219,21
"3220","she read it, and saw her dwelling intently on some particular passages.",3220,21
"3221","Jane recollected herself soon, and putting the letter away, tried to",3221,21
"3222","join with her usual cheerfulness in the general conversation; but",3222,21
"3223","Elizabeth felt an anxiety on the subject which drew off her attention",3223,21
"3224","even from Wickham; and no sooner had he and his companion taken leave,",3224,21
"3225","than a glance from Jane invited her to follow her up stairs. When they",3225,21
"3226","had gained their own room, Jane taking out the letter, said,",3226,21
"3227","""This is from Caroline Bingley; what it contains, has surprised me a",3227,21
"3228","good deal. The whole party have left Netherfield by this time, and are",3228,21
"3229","on their way to town; and without any intention of coming back again.",3229,21
"3230","You shall hear what she says.""",3230,21
"3231","She then read the first sentence aloud, which comprised the information",3231,21
"3232","of their having just resolved to follow their brother to town directly,",3232,21
"3233","and of their meaning to dine that day in Grosvenor street, where Mr.",3233,21
"3234","Hurst had a house. The next was in these words. ""I do not pretend to",3234,21
"3235","regret any thing I shall leave in Hertfordshire, except your society, my",3235,21
"3236","dearest friend; but we will hope at some future period, to enjoy many",3236,21
"3237","returns of the delightful intercourse we have known, and in the mean",3237,21
"3238","while may lessen the pain of separation by a very frequent and most",3238,21
"3239","unreserved correspondence. I depend on you for that."" To these high",3239,21
"3240","flown expressions, Elizabeth listened with all the insensibility of",3240,21
"3241","distrust; and though the suddenness of their removal surprised her, she",3241,21
"3242","saw nothing in it really to lament; it was not to be supposed that their",3242,21
"3243","absence from Netherfield would prevent Mr. Bingley's being there; and as",3243,21
"3244","to the loss of their society, she was persuaded that Jane must soon",3244,21
"3245","cease to regard it, in the enjoyment of his.",3245,21
"3246","""It is unlucky,"" said she, after a short pause, ""that you should not be",3246,21
"3247","able to see your friends before they leave the country. But may we not",3247,21
"3248","hope that the period of future happiness to which Miss Bingley looks",3248,21
"3249","forward, may arrive earlier than she is aware, and that the delightful",3249,21
"3250","intercourse you have known as friends, will be renewed with yet greater",3250,21
"3251","satisfaction as sisters?--Mr. Bingley will not be detained in London by",3251,21
"3252","them.""",3252,21
"3253","""Caroline decidedly says that none of the party will return into",3253,21
"3254","Hertfordshire this winter. I will read it to you--",3254,21
"3255","""When my brother left us yesterday, he imagined that the business which",3255,21
"3256","took him to London, might be concluded in three or four days, but as we",3256,21
"3257","are certain it cannot be so, and at the same time convinced that when",3257,21
"3258","Charles gets to town, he will be in no hurry to leave it again, we have",3258,21
"3259","determined on following him thither, that he may not be obliged to spend",3259,21
"3260","his vacant hours in a comfortless hotel. Many of my acquaintance are",3260,21
"3261","already there for the winter; I wish I could hear that you, my dearest",3261,21
"3262","friend, had any intention of making one in the croud, but of that I",3262,21
"3263","despair. I sincerely hope your Christmas in Hertfordshire may abound in",3263,21
"3264","the gaieties which that season generally brings, and that your beaux",3264,21
"3265","will be so numerous as to prevent your feeling the loss of the three, of",3265,21
"3266","whom we shall deprive you.""",3266,21
"3267","""It is evident by this,"" added Jane, ""that he comes back no more this",3267,21
"3268","winter.""",3268,21
"3269","""It is only evident that Miss Bingley does not mean he _should_.""",3269,21
"3270","""Why will you think so? It must be his own doing.--He is his own master.",3270,21
"3271","But you do not know _all_. I _will_ read you the passage which",3271,21
"3272","particularly hurts me. I will have no reserves from _you_."" ""Mr. Darcy",3272,21
"3273","is impatient to see his sister, and to confess the truth, _we_ are",3273,21
"3274","scarcely less eager to meet her again. I really do not think Georgiana",3274,21
"3275","Darcy has her equal for beauty, elegance, and accomplishments; and the",3275,21
"3276","affection she inspires in Louisa and myself, is heightened into",3276,21
"3277","something still more interesting, from the hope we dare to entertain of",3277,21
"3278","her being hereafter our sister. I do not know whether I ever before",3278,21
"3279","mentioned to you my feelings on this subject, but I will not leave the",3279,21
"3280","country without confiding them, and I trust you will not esteem them",3280,21
"3281","unreasonable. My brother admires her greatly already, he will have",3281,21
"3282","frequent opportunity now of seeing her on the most intimate footing, her",3282,21
"3283","relations all wish the connection as much as his own, and a sister's",3283,21
"3284","partiality is not misleading me, I think, when I call Charles most",3284,21
"3285","capable of engaging any woman's heart. With all these circumstances to",3285,21
"3286","favour an attachment and nothing to prevent it, am I wrong, my dearest",3286,21
"3287","Jane, in indulging the hope of an event which will secure the happiness",3287,21
"3288","of so many?""",3288,21
"3289","""What think you of _this_ sentence, my dear Lizzy?""--said Jane as she",3289,21
"3290","finished it. ""Is it not clear enough?--Does it not expressly declare",3290,21
"3291","that Caroline neither expects nor wishes me to be her sister; that she",3291,21
"3292","is perfectly convinced of her brother's indifference, and that if she",3292,21
"3293","suspects the nature of my feelings for him, she means (most kindly!) to",3293,21
"3294","put me on my guard? Can there be any other opinion on the subject?""",3294,21
"3295","""Yes, there can; for mine is totally different.--Will you hear it?""",3295,21
"3296","""Most willingly.""",3296,21
"3297","""You shall have it in few words. Miss Bingley sees that her brother is",3297,21
"3298","in love with you, and wants him to marry Miss Darcy. She follows him to",3298,21
"3299","town in the hope of keeping him there, and tries to persuade you that he",3299,21
"3300","does not care about you.""",3300,21
"3301","Jane shook her head.",3301,21
"3302","""Indeed, Jane, you ought to believe me.--No one who has ever seen you",3302,21
"3303","together, can doubt his affection. Miss Bingley I am sure cannot. She is",3303,21
"3304","not such a simpleton. Could she have seen half as much love in Mr. Darcy",3304,21
"3305","for herself, she would have ordered her wedding clothes. But the case is",3305,21
"3306","this. We are not rich enough, or grand enough for them; and she is the",3306,21
"3307","more anxious to get Miss Darcy for her brother, from the notion that",3307,21
"3308","when there has been _one_ intermarriage, she may have less trouble in",3308,21
"3309","achieving a second; in which there is certainly some ingenuity, and I",3309,21
"3310","dare say it would succeed, if Miss de Bourgh were out of the way. But,",3310,21
"3311","my dearest Jane, you cannot seriously imagine that because Miss Bingley",3311,21
"3312","tells you her brother greatly admires Miss Darcy, he is in the smallest",3312,21
"3313","degree less sensible of _your_ merit than when he took leave of you on",3313,21
"3314","Tuesday, or that it will be in her power to persuade him that instead of",3314,21
"3315","being in love with you, he is very much in love with her friend.""",3315,21
"3316","""If we thought alike of Miss Bingley,"" replied Jane, ""your",3316,21
"3317","representation of all this, might make me quite easy. But I know the",3317,21
"3318","foundation is unjust. Caroline is incapable of wilfully deceiving any",3318,21
"3319","one; and all that I can hope in this case is, that she is deceived",3319,21
"3320","herself.""",3320,21
"3321","""That is right.--You could not have started a more happy idea, since you",3321,21
"3322","will not take comfort in mine. Believe her to be deceived by all means.",3322,21
"3323","You have now done your duty by her, and must fret no longer.""",3323,21
"3324","""But, my dear sister, can I be happy, even supposing the best, in",3324,21
"3325","accepting a man whose sisters and friends are all wishing him to marry",3325,21
"3326","elsewhere?""",3326,21
"3327","""You must decide for yourself,"" said Elizabeth, ""and if upon mature",3327,21
"3328","deliberation, you find that the misery of disobliging his two sisters is",3328,21
"3329","more than equivalent to the happiness of being his wife, I advise you by",3329,21
"3330","all means to refuse him.""",3330,21
"3331","""How can you talk so?""--said Jane faintly smiling,--""You must know that",3331,21
"3332","though I should be exceedingly grieved at their disapprobation, I could",3332,21
"3333","not hesitate.""",3333,21
"3334","""I did not think you would;--and that being the case, I cannot consider",3334,21
"3335","your situation with much compassion.""",3335,21
"3336","""But if he returns no more this winter, my choice will never be",3336,21
"3337","required. A thousand things may arise in six months!""",3337,21
"3338","The idea of his returning no more Elizabeth treated with the utmost",3338,21
"3339","contempt. It appeared to her merely the suggestion of Caroline's",3339,21
"3340","interested wishes, and she could not for a moment suppose that those",3340,21
"3341","wishes, however openly or artfully spoken, could influence a young man",3341,21
"3342","so totally independent of every one.",3342,21
"3343","She represented to her sister as forcibly as possible what she felt on",3343,21
"3344","the subject, and had soon the pleasure of seeing its happy effect.",3344,21
"3345","Jane's temper was not desponding, and she was gradually led to hope,",3345,21
"3346","though the diffidence of affection sometimes overcame the hope, that",3346,21
"3347","Bingley would return to Netherfield and answer every wish of her heart.",3347,21
"3348","They agreed that Mrs. Bennet should only hear of the departure of the",3348,21
"3349","family, without being alarmed on the score of the gentleman's conduct;",3349,21
"3350","but even this partial communication gave her a great deal of concern,",3350,21
"3351","and she bewailed it as exceedingly unlucky that the ladies should happen",3351,21
"3352","to go away, just as they were all getting so intimate together. After",3352,21
"3353","lamenting it however at some length, she had the consolation of thinking",3353,21
"3354","that Mr. Bingley would be soon down again and soon dining at Longbourn,",3354,21
"3355","and the conclusion of all was the comfortable declaration that, though",3355,21
"3356","he had been invited only to a family dinner, she would take care to have",3356,21
"3357","two full courses.",3357,21
"3358","The Bennets were engaged to dine with the Lucases, and again during the",3358,22
"3359","chief of the day, was Miss Lucas so kind as to listen to Mr. Collins.",3359,22
"3360","Elizabeth took an opportunity of thanking her. ""It keeps him in good",3360,22
"3361","humour,"" said she, ""and I am more obliged to you than I can express.""",3361,22
"3362","Charlotte assured her friend of her satisfaction in being useful, and",3362,22
"3363","that it amply repaid her for the little sacrifice of her time. This was",3363,22
"3364","very amiable, but Charlotte's kindness extended farther than Elizabeth",3364,22
"3365","had any conception of;--its object was nothing less, than to secure her",3365,22
"3366","from any return of Mr. Collins's addresses, by engaging them towards",3366,22
"3367","herself. Such was Miss Lucas's scheme; and appearances were so",3367,22
"3368","favourable that when they parted at night, she would have felt almost",3368,22
"3369","sure of success if he had not been to leave Hertfordshire so very soon.",3369,22
"3370","But here, she did injustice to the fire and independence of his",3370,22
"3371","character, for it led him to escape out of Longbourn House the next",3371,22
"3372","morning with admirable slyness, and hasten to Lucas Lodge to throw",3372,22
"3373","himself at her feet. He was anxious to avoid the notice of his cousins,",3373,22
"3374","from a conviction that if they saw him depart, they could not fail to",3374,22
"3375","conjecture his design, and he was not willing to have the attempt known",3375,22
"3376","till its success could be known likewise; for though feeling almost",3376,22
"3377","secure, and with reason, for Charlotte had been tolerably encouraging,",3377,22
"3378","he was comparatively diffident since the adventure of Wednesday. His",3378,22
"3379","reception however was of the most flattering kind. Miss Lucas perceived",3379,22
"3380","him from an upper window as he walked towards the house, and instantly",3380,22
"3381","set out to meet him accidentally in the lane. But little had she dared",3381,22
"3382","to hope that so much love and eloquence awaited her there.",3382,22
"3383","In as short a time as Mr. Collins's long speeches would allow, every",3383,22
"3384","thing was settled between them to the satisfaction of both; and as they",3384,22
"3385","entered the house, he earnestly entreated her to name the day that was",3385,22
"3386","to make him the happiest of men; and though such a solicitation must be",3386,22
"3387","waved for the present, the lady felt no inclination to trifle with his",3387,22
"3388","happiness. The stupidity with which he was favoured by nature, must",3388,22
"3389","guard his courtship from any charm that could make a woman wish for its",3389,22
"3390","continuance; and Miss Lucas, who accepted him solely from the pure and",3390,22
"3391","disinterested desire of an establishment, cared not how soon that",3391,22
"3392","establishment were gained.",3392,22
"3393","Sir William and Lady Lucas were speedily applied to for their consent;",3393,22
"3394","and it was bestowed with a most joyful alacrity. Mr. Collins's present",3394,22
"3395","circumstances made it a most eligible match for their daughter, to whom",3395,22
"3396","they could give little fortune; and his prospects of future wealth were",3396,22
"3397","exceedingly fair. Lady Lucas began directly to calculate with more",3397,22
"3398","interest than the matter had ever excited before, how many years longer",3398,22
"3399","Mr. Bennet was likely to live; and Sir William gave it as his decided",3399,22
"3400","opinion, that whenever Mr. Collins should be in possession of the",3400,22
"3401","Longbourn estate, it would be highly expedient that both he and his wife",3401,22
"3402","should make their appearance at St. James's. The whole family in short",3402,22
"3403","were properly overjoyed on the occasion. The younger girls formed hopes",3403,22
"3404","of _coming out_ a year or two sooner than they might otherwise have",3404,22
"3405","done; and the boys were relieved from their apprehension of Charlotte's",3405,22
"3406","dying an old maid. Charlotte herself was tolerably composed. She had",3406,22
"3407","gained her point, and had time to consider of it. Her reflections were",3407,22
"3408","in general satisfactory. Mr. Collins to be sure was neither sensible nor",3408,22
"3409","agreeable; his society was irksome, and his attachment to her must be",3409,22
"3410","imaginary. But still he would be her husband.--Without thinking highly",3410,22
"3411","either of men or of matrimony, marriage had always been her object; it",3411,22
"3412","was the only honourable provision for well-educated young women of small",3412,22
"3413","fortune, and however uncertain of giving happiness, must be their",3413,22
"3414","pleasantest preservative from want. This preservative she had now",3414,22
"3415","obtained; and at the age of twenty-seven, without having ever been",3415,22
"3416","handsome, she felt all the good luck of it. The least agreeable",3416,22
"3417","circumstance in the business, was the surprise it must occasion to",3417,22
"3418","Elizabeth Bennet, whose friendship she valued beyond that of any other",3418,22
"3419","person. Elizabeth would wonder, and probably would blame her; and though",3419,22
"3420","her resolution was not to be shaken, her feelings must be hurt by such",3420,22
"3421","disapprobation. She resolved to give her the information herself, and",3421,22
"3422","therefore charged Mr. Collins when he returned to Longbourn to dinner,",3422,22
"3423","to drop no hint of what had passed before any of the family. A promise",3423,22
